iso_time,BTC Trend (default),ETH Trend (optimized),SOL Trend (optimized)
2023-12-25 00:00:00+00:00,178732.0547511737,111515.84864277282,387848.9934599168
2023-12-26 00:00:00+00:00,178732.0547511737,111515.84864277282,352728.61842412426
2023-12-27 00:00:00+00:00,178732.0547511737,111515.84864277282,352728.61842412426
2023-12-28 00:00:00+00:00,178732.0547511737,111515.84864277282,352728.61842412426
2023-12-29 00:00:00+00:00,178732.0547511737,111515.84864277282,352728.61842412426
2023-12-30 00:00:00+00:00,178732.0547511737,111515.84864277282,352728.61842412426
2023-12-31 00:00:00+00:00,178732.0547511737,111515.84864277282,352728.61842412426
2024-01-01 00:00:00+00:00,182104.18859021855,111515.84864277282,352728.61842412426
2024-01-02 00:00:00+00:00,186173.0879754453,111515.84864277282,319613.03825925855
2024-01-03 00:00:00+00:00,179320.2786809439,111515.84864277282,318282.8478192051
2024-01-04 00:00:00+00:00,179320.2786809439,111515.84864277282,318282.8478192051
2024-01-05 00:00:00+00:00,179320.2786809439,111515.84864277282,318282.8478192051
2024-01-06 00:00:00+00:00,179320.2786809439,111515.84864277282,318282.8478192051
2024-01-07 00:00:00+00:00,179320.2786809439,111515.84864277282,318282.8478192051
2024-01-08 00:00:00+00:00,187856.6565008574,111515.84864277282,318282.8478192051
2024-01-09 00:00:00+00:00,183411.49374070458,110584.88980540547,318282.8478192051
2024-01-10 00:00:00+00:00,178763.95123547514,127878.64362306987,305282.45467356534
2024-01-11 00:00:00+00:00,169862.98076622016,130285.91506476009,295967.47979006846
2024-01-12 00:00:00+00:00,169862.98076622016,119552.8485052975,292209.31800867314
2024-01-13 00:00:00+00:00,169862.98076622016,119552.8485052975,292209.31800867314
2024-01-14 00:00:00+00:00,169862.98076622016,119552.8485052975,292209.31800867314
2024-01-15 00:00:00+00:00,169862.98076622016,119552.8485052975,292209.31800867314
2024-01-16 00:00:00+00:00,169862.98076622016,119552.8485052975,292209.31800867314
2024-01-17 00:00:00+00:00,169862.98076622016,119552.8485052975,291952.86876411
2024-01-18 00:00:00+00:00,169862.98076622016,119552.8485052975,273627.1936126672
2024-01-19 00:00:00+00:00,169862.98076622016,119552.8485052975,273627.1936126672
2024-01-20 00:00:00+00:00,169862.98076622016,119552.8485052975,273627.1936126672
2024-01-21 00:00:00+00:00,169862.98076622016,119552.8485052975,273627.1936126672
2024-01-22 00:00:00+00:00,169862.98076622016,119552.8485052975,273627.1936126672
2024-01-23 00:00:00+00:00,169862.98076622016,119552.8485052975,273627.1936126672
2024-01-24 00:00:00+00:00,169862.98076622016,119552.8485052975,273627.1936126672
2024-01-25 00:00:00+00:00,169862.98076622016,119552.8485052975,273627.1936126672
2024-01-26 00:00:00+00:00,170241.32075979945,119552.8485052975,268946.0353052689
2024-01-27 00:00:00+00:00,171822.41745435377,119552.8485052975,277041.2655502943
2024-01-28 00:00:00+00:00,171360.32233786117,119552.8485052975,283956.144101246
2024-01-29 00:00:00+00:00,178092.00418902127,121376.73855679054,307660.5986120736
2024-01-30 00:00:00+00:00,176160.7875658665,123351.09491886829,306330.88197162346
2024-01-31 00:00:00+00:00,174473.8162843355,119516.20903265712,297161.2429259493
2024-02-01 00:00:00+00:00,174473.8162843355,119516.20903265712,297161.2429259493
2024-02-02 00:00:00+00:00,174473.8162843355,119516.20903265712,297161.2429259493
2024-02-03 00:00:00+00:00,174473.8162843355,119516.20903265712,297161.2429259493
2024-02-04 00:00:00+00:00,174473.8162843355,119516.20903265712,297161.2429259493
2024-02-05 00:00:00+00:00,174473.8162843355,119516.20903265712,297161.2429259493
2024-02-06 00:00:00+00:00,174473.8162843355,121852.50921614407,297161.2429259493
2024-02-07 00:00:00+00:00,179990.5778213553,125902.3015499828,297161.2429259493
2024-02-08 00:00:00+00:00,184957.75748058595,125453.40698951579,299013.04377422936
2024-02-09 00:00:00+00:00,194777.00993164355,130664.58983913877,315925.0923500694
2024-02-10 00:00:00+00:00,198081.17266237267,131738.46260962897,324454.031404941
2024-02-11 00:00:00+00:00,201037.08471055573,132273.38277077285,317972.35249163554
2024-02-12 00:00:00+00:00,209845.20978840723,133871.4749027896,316039.5801559112
2024-02-13 00:00:00+00:00,208597.07174328194,132338.1492028797,305883.555038781
2024-02-14 00:00:00+00:00,220074.36695521712,142568.91850546704,313983.05094707676
2024-02-15 00:00:00+00:00,220513.0390366401,146220.68121939825,299158.0434347631
2024-02-16 00:00:00+00:00,221839.13007001608,144561.7196347486,299158.0434347631
2024-02-17 00:00:00+00:00,218791.37759674483,142067.3657462798,299158.0434347631
2024-02-18 00:00:00+00:00,218791.37759674483,142067.3657462798,299158.0434347631
2024-02-19 00:00:00+00:00,218791.37759674483,143580.09297004418,299158.0434347631
2024-02-20 00:00:00+00:00,214208.99030285823,148659.78301924988,299158.0434347631
2024-02-21 00:00:00+00:00,214208.99030285823,139623.4882483005,299158.0434347631
2024-02-22 00:00:00+00:00,214208.99030285823,134078.35915879984,299158.0434347631
2024-02-23 00:00:00+00:00,214208.99030285823,134078.35915879984,299158.0434347631
2024-02-24 00:00:00+00:00,214208.99030285823,134078.35915879984,299158.0434347631
2024-02-25 00:00:00+00:00,214208.99030285823,139404.72897032124,299158.0434347631
2024-02-26 00:00:00+00:00,226230.4965587494,143622.70228641533,302525.1654224852
2024-02-27 00:00:00+00:00,240099.38696026307,148099.63606704882,296362.45865953784
2024-02-28 00:00:00+00:00,269868.5018197863,157646.50985932708,337658.80920851906
2024-02-29 00:00:00+00:00,262545.6832518412,154573.16120660002,363449.4453014527
2024-03-01 00:00:00+00:00,269465.0437663944,160990.2321213667,377895.29347761936
2024-03-02 00:00:00+00:00,265438.5659425305,158899.60613851834,380538.65790811775
2024-03-03 00:00:00+00:00,265438.5659425305,158899.60613851834,372352.8252703112
2024-03-04 00:00:00+00:00,291621.56414977496,167394.13824736924,372352.8252703112
2024-03-05 00:00:00+00:00,267340.1216011715,156281.13321329595,341391.71612292144
2024-03-06 00:00:00+00:00,267340.1216011715,156905.45220309153,341391.71612292144
2024-03-07 00:00:00+00:00,267340.1216011715,159848.66494768148,350403.78092107776
2024-03-08 00:00:00+00:00,265312.43358154193,160638.5963346588,353128.89795613545
2024-03-09 00:00:00+00:00,266261.4712312991,161982.21725847456,351309.5257425869
2024-03-10 00:00:00+00:00,269474.12154962035,160807.02315410195,353349.03175664076
2024-03-11 00:00:00+00:00,265574.7110442849,161854.8960024753,353349.03175664076
2024-03-12 00:00:00+00:00,252891.83997484896,153949.65065635825,353349.03175664076
2024-03-13 00:00:00+00:00,251547.4588141751,148278.3920572536,385591.32419427816
2024-03-14 00:00:00+00:00,246565.57145832808,148278.3920572536,424993.8502610504
2024-03-15 00:00:00+00:00,246565.57145832808,148278.3920572536,394656.0415769558
2024-03-16 00:00:00+00:00,246565.57145832808,148278.3920572536,365537.18258965324
2024-03-17 00:00:00+00:00,246565.57145832808,148278.3920572536,378620.0723379476
2024-03-18 00:00:00+00:00,246565.57145832808,148278.3920572536,362653.421868722
2024-03-19 00:00:00+00:00,246565.57145832808,148278.3920572536,351425.074234724
2024-03-20 00:00:00+00:00,246565.57145832808,148278.3920572536,351425.074234724
2024-03-21 00:00:00+00:00,246565.57145832808,148278.3920572536,351425.074234724
2024-03-22 00:00:00+00:00,246565.57145832808,148278.3920572536,351425.074234724
2024-03-23 00:00:00+00:00,246565.57145832808,148278.3920572536,351425.074234724
2024-03-24 00:00:00+00:00,246565.57145832808,148278.3920572536,351425.074234724
2024-03-25 00:00:00+00:00,255303.26666231782,149933.35169275248,337432.67584280635
2024-03-26 00:00:00+00:00,255815.8109002852,149708.34449929112,340977.0251002208
2024-03-27 00:00:00+00:00,249161.36350684724,145125.25754283674,327074.06318663055
2024-03-28 00:00:00+00:00,249161.36350684724,145125.25754283674,327074.06318663055
2024-03-29 00:00:00+00:00,249161.36350684724,145125.25754283674,327074.06318663055
2024-03-30 00:00:00+00:00,249161.36350684724,145125.25754283674,324477.0499840123
2024-03-31 00:00:00+00:00,249161.36350684724,145125.25754283674,343856.34894744225
2024-04-01 00:00:00+00:00,249161.36350684724,145125.25754283674,323227.7241721885
2024-04-02 00:00:00+00:00,249161.36350684724,145125.25754283674,323227.7241721885
2024-04-03 00:00:00+00:00,249161.36350684724,145125.25754283674,323227.7241721885
2024-04-04 00:00:00+00:00,249161.36350684724,145125.25754283674,323227.7241721885
2024-04-05 00:00:00+00:00,249161.36350684724,145125.25754283674,323227.7241721885
2024-04-06 00:00:00+00:00,249161.36350684724,145125.25754283674,323227.7241721885
